dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version
2,-9,NA,7,1902,24,1,1903,6,1,0,0,207,177,7,3,0,1,1,0,0,0,0,gml-2.0
3,-9,2,5,1913,25,10,1913,4,3,0,0,176,176,10,3,1,1,1,0,0,0,0,gml-2.0
4,-9,15,5,1946,13,11,1946,6,1,2,-9,182,182,16,4,1,1,1,0,0,0,0,gml-2.0
7,-9,12,11,1951,25,1,1952,1,3,2,-9,74,74,17,4,1,1,11,0,0,0,0,gml-2.0
8,-9,11,7,1856,4,3,1857,1,2,6,-9,236,236,20,5,1,1,1,0,0,0,0,gml-2.0
9,-9,29,12,1889,10,1,1890,4,2,0,0,12,12,7,3,0,1,1,0,0,0,0,gml-2.0
11,-9,11,3,1938,12,3,1938,4,2,0,0,1,1,14,4,0,1,1,0,0,0,0,gml-2.0
12,-9,11,3,1938,29,9,1938,4,1,0,0,202,202,16,4,1,1,5,0,0,0,0,gml-2.0
13,-9,24,12,1862,11,12,1863,5,1,1,-9,352,352,15,4,0,3,12,0,0,0,0,gml-2.0
14,-9,15,10,1895,31,12,1895,4,3,0,0,77,77,7,3,0,1,1,0,0,0,0,gml-2.0
15,-9,1,2,1839,1,3,1839,6,1,0,0,28,28,15,4,1,1,2,0,0,0,0,gml-2.0
16,-9,25,12,1897,19,2,1898,4,3,0,0,56,56,7,3,0,1,2,0,0,0,0,gml-2.0
19,-9,15,1,1848,6,8,1849,5,1,6,-9,569,569,20,5,1,1,3,0,0,0,0,gml-2.0
20,-9,NA,11,1945,NA,5,1946,3,1,0,0,211,152,7,3,0,1,1,0,0,0,0,gml-2.0
21,-9,21,11,1912,3,12,1912,5,3,0,0,12,12,10,3,1,1,2,0,0,0,0,gml-2.0
22,-9,15,6,1940,17,6,1940,1,2,-9,-9,2,2,16,4,0,1,1,0,0,0,0,gml-2.0
23,-9,19,9,1939,28,9,1939,2,1,0,0,9,9,13,4,0,1,9,0,0,0,0,gml-2.0
25,-9,2,8,1831,21,5,1833,2,1,-9,-9,658,658,17,4,1,1,3,0,0,0,0,gml-2.0
26,-9,21,3,1948,25,7,1949,5,3,0,0,491,491,13,4,0,1,3,0,0,0,0,gml-2.0
27,-9,25,7,1961,28,10,1961,5,3,0,0,95,95,11,3,1,4,4,0,0,0,0,gml-2.0
28,-9,17,7,1961,29,9,1961,6,1,3,-9,74,74,17,4,1,1,1,0,0,0,0,gml-2.0
30,-9,6,10,1908,31,3,1909,4,1,-9,-9,176,176,17,4,0,1,1,0,0,0,0,gml-2.0
31,-9,30,5,1900,16,1,1901,1,1,6,-9,231,231,20,5,1,8,1,0,0,0,0,gml-2.0
38,-9,29,12,1837,29,12,1837,5,3,0,0,0,0,16,4,1,1,1,0,0,0,0,gml-2.0
40,-9,20,4,1928,28,3,1929,4,1,3,-9,342,342,17,4,1,1,1,0,0,0,0,gml-2.0
41,-9,27,5,1929,22,12,1929,3,1,6,-9,209,209,20,5,1,1,1,0,0,0,0,gml-2.0
43,-9,14,11,1897,6,3,1898,1,2,0,0,112,112,17,4,0,1,1,0,0,0,0,gml-2.0
50,-9,9,2,1953,6,2,1956,5,3,2,-9,1092,1092,17,4,1,2,2,0,0,0,0,gml-2.0
51,-9,24,6,1950,27,7,1953,5,1,6,-9,1129,1129,20,5,1,2,15,0,0,0,0,gml-2.0
