region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version
1,201,2,"Passamaquoddy Bay",1,2,200,2200,181601,181711,4,0,3,1,2,1,0,3,2,1,0,0,0,1.01
1,401,4,"St. Croix-St. John Rivers",1,2,200,2200,181601,184210,4,0,5,2,3,2,2,3,2,1,1,0,0,1.01
1,501,5,"Machias Seal Island",1,2,20,2020,197108,200199,-9,-9,5,2,2,3,2,3,1,2,0,0,0,1.01
1,601,6,"49th Parallel",1,2,200,2200,181601,181810,4,0,1,1,1,0,0,1,1,0,0,0,0,1.01
1,801,8,"Oregon Country",1,2,200,2200,181601,184607,4,0,7,2,4,3,4,3,2,1,1,0,0,1.01
1,802,8,"Oregon Country",2,2,230,2230,181601,182102,4,0,4,1,3,1,2,2,2,0,0,0,0,1.01
1,803,8,"Oregon Country",3,230,200,200230,181601,182102,2,0,3,1,1,2,2,1,0,1,0,0,0,1.01
1,804,8,"San Juan Islands",4,2,200,2200,184607,187210,12,0,7,2,4,3,4,3,2,1,0,0,0,1.01
1,1001,10,"Alaska",1,365,200,200365,182109,186703,2,0,7,2,3,4,6,1,0,1,0,0,0,1.01
1,1002,10,"Alaska",2,2,365,2365,182202,186703,4,0,7,2,3,4,6,1,0,1,0,0,0,1.01
1,1003,10,"Alaska",3,200,2,2200,187208,190310,4,0,7,2,3,4,6,1,0,1,2,0,0,1.01
1,1101,11,"Wrangel Island",1,20,2,2020,192205,192407,2,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,1102,11,"Wrangel Island",2,20,365,20365,192205,192407,2,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,1201,12,"Labrador",1,20,200,20200,192001,192703,12,0,6,2,3,3,4,2,1,1,0,0,0,1.01
1,1401,14,"Florida",1,2,230,2230,181601,182102,4,0,6,2,3,3,4,2,1,1,1,1,0,1.01
1,1601,16,"Texas",1,2,230,2230,181601,182102,4,0,9,3,5,4,6,3,2,1,0,0,0,1.01
1,1602,16,"Texas",2,2,70,2070,183101,184805,4,1,10,3,5,5,6,4,2,2,2,1,1,1.01
1,1801,18,"Mesilla Valley",1,2,70,2070,185012,185406,4,0,3,1,1,2,0,3,1,2,1,0,0,1.01
1,2001,20,"Morteritos & Sabinitos",1,70,2,2070,188400,188400,2,0,2,1,1,1,0,2,1,1,0,0,0,1.01
1,2201,22,"Rio Grande Bancos",1,70,2,2070,188411,197200,4,0,4,1,2,2,0,4,2,2,0,0,0,1.01
1,2202,22,"El Chamizal",2,70,2,2070,189509,196312,4,0,7,2,3,4,2,5,2,3,0,0,0,1.01
1,2601,26,"California & New Mexico",1,2,70,2070,183501,184802,4,1,7,2,3,4,4,3,1,2,2,1,1,1.01
1,2801,28,"Fort Ross",1,230,365,230365,181601,182109,5,0,8,3,4,4,6,2,1,1,0,0,0,1.01
1,2802,28,"Fort Ross",2,70,365,70365,183101,184112,8,0,7,2,4,3,4,3,2,1,0,0,0,1.01
1,3001,30,"Baja California & Sonora",1,2,70,2070,184701,186512,1,0,9,3,4,5,6,3,1,2,0,0,0,1.01
1,3201,32,"Ellesmere Island",1,20,2,2020,192201,192609,8,0,4,1,3,1,2,2,2,0,0,0,0,1.01
1,3401,34,"Sverdrup Islands",1,20,385,20385,192201,193008,4,0,1,1,1,0,0,1,1,0,0,0,0,1.01
1,3601,36,"Hans Island",1,20,390,20390,197101,200199,-9,-9,4,1,2,2,2,2,1,1,0,0,0,1.01
1,3801,38,"Eastern Greenland",1,385,390,385390,192107,193304,12,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,4001,40,"Cuba",1,2,230,2230,184805,189812,4,1,8,3,4,4,6,2,1,1,1,1,1,1.01
1,4201,42,"Isla de Pinos (Isle of Pines)",1,2,40,2040,190901,192503,4,0,4,1,1,3,2,2,0,2,0,0,0,1.01
1,4401,44,"Guantanamo Bay",1,40,2,2040,196009,200199,-9,-9,7,2,4,3,4,3,2,1,0,0,0,1.01
1,4601,46,"Navassa Island",1,41,2,2041,185901,191412,6,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,4602,46,"Navassa Island",2,41,2,2041,193501,200199,-9,-9,2,1,1,1,0,2,1,1,0,0,0,1.01
1,4801,48,"Mole St. Nicholas",1,2,41,2041,188903,191507,1,0,6,2,2,4,4,2,0,2,1,0,0,1.01
1,5001,50,"Samana Bay",1,2,42,2042,189401,190404,1,0,6,2,2,4,4,2,0,2,0,0,0,1.01
1,5201,52,"Virgin Islands",1,2,390,2390,186501,191703,4,0,5,2,2,3,4,1,0,1,0,0,0,1.01
1,5401,54,"Rio Massacre",1,41,42,41042,189401,191507,6,0,2,1,1,1,0,2,1,1,1,0,0,1.01
1,5402,54,"Rio Massacre",2,41,42,41042,193408,193502,4,0,2,1,1,1,0,2,1,1,0,0,0,1.01
1,5601,56,"Quita Sueno-Roncador-Serrana",1,100,2,2100,189012,197209,4,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,5602,56,"Quita Sueno-Roncador-Serrana",2,93,2,2093,190001,192803,1,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,5603,56,"Quita Sueno-Roncador-Serrana",3,93,100,93100,190001,192803,4,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,5604,56,"Quita Sueno-Roncador-Serrana",4,93,100,93100,197912,200199,-9,-9,5,2,2,3,2,3,1,2,0,0,0,1.01
1,5605,56,"Quita Sueno-Roncador-Serrana",5,91,2,2091,189901,192804,1,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,5606,56,"Quita Sueno-Roncador-Serrana",6,91,100,91100,189901,192804,1,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,5701,57,"Serranilla Bank & Bajo Nuevo",1,91,100,91100,198201,198608,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01
1,5801,58,"San Andres y Providencia",1,93,100,93100,190001,193005,4,0,7,2,3,4,4,3,1,2,1,0,0,1.01
1,5802,58,"San Andres y Providencia",2,93,100,93100,197912,200199,-9,-9,7,2,3,4,4,3,1,2,3,0,0,1.01
1,6001,60,"Clipperton Island",1,70,220,70220,189712,193401,12,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,6201,62,"Rio Hondo",1,70,200,70200,183101,189704,4,0,3,1,2,1,2,1,1,0,0,0,0,1.01
1,6401,64,"Chiapas",1,90,70,70090,186801,188209,4,0,6,2,3,3,2,4,2,2,0,0,0,1.01
1,6601,66,"Belize",1,90,200,90200,186801,198109,5,0,9,3,4,5,6,3,1,2,3,0,0,1.01
1,6602,66,"Belize",2,90,80,80090,198109,200199,-9,-9,10,3,4,6,6,4,1,3,5,0,0,1.01
1,6801,68,"Ranguana & Sapodilla (Zapotillo)",1,90,200,90200,198103,198109,5,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,6802,68,"Ranguana & Sapodilla (Zapotillo)",2,90,80,80090,198109,200199,-9,-9,7,2,3,4,4,3,1,2,0,0,0,1.01
1,6803,68,"Ranguana & Sapodilla (Zapotillo)",3,91,200,91200,198103,198109,5,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,6804,68,"Ranguana & Sapodilla (Zapotillo)",4,91,80,80091,198109,200199,-9,-9,7,2,3,4,4,3,1,2,0,0,0,1.01
1,6805,68,"Ranguana & Sapodilla (Zapotillo)",5,91,90,90091,198109,200199,-9,-9,6,2,3,3,4,2,1,1,0,0,0,1.01
1,7001,70,"Mosquito Coast",1,100,200,100200,183101,186008,9,0,8,3,4,4,6,2,1,1,0,0,0,1.01
1,7002,70,"Mosquito Coast",2,100,93,93100,190001,192803,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01
1,7201,72,"Rio Motagua",1,91,90,90091,189901,193301,12,0,6,2,3,3,2,4,2,2,2,1,0,1.01
1,7401,74,"Cordillera Monte Cristo",1,90,92,90092,193508,193804,4,0,2,1,1,1,0,2,1,1,1,1,0,1.01
1,7601,76,"Bolsones",1,92,91,91092,189901,199209,12,0,6,2,3,3,2,4,2,2,2,1,1,1.01
1,7801,78,"Gulf of Fonseca Islands",1,92,91,91092,189901,199209,12,0,7,2,3,4,4,3,1,2,0,0,0,1.01
1,7802,78,"Conejo Island",2,92,91,91092,200004,200199,-9,-9,5,2,2,3,2,3,1,2,0,0,0,1.01
1,8001,80,"Teotecacinte",1,93,91,91093,190001,190612,12,0,6,2,3,3,2,4,2,2,0,0,0,1.01
1,8002,80,"Teotecacinte",2,93,91,91093,191203,196108,12,0,8,3,4,4,4,4,2,2,2,0,0,1.01
1,8101,81,"Cayo Sur - Media Luna",1,93,91,91093,199806,200199,-9,-9,5,2,2,3,2,3,1,2,1,0,0,1.01
1,8201,82,"Swan Islands",1,91,2,2091,192105,197209,4,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,8401,84,"Mangles (Corn) Islands",1,100,93,93100,190001,192803,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01
1,8402,84,"Mangles (Corn) Islands",2,93,2,2093,196501,197102,4,0,5,2,3,2,2,3,2,1,0,0,0,1.01
1,8501,85,"Nicaragua Canal",1,2,93,2093,190001,191606,4,0,6,2,2,4,4,2,0,2,0,0,0,1.01
1,8601,86,"Rio Sixaola y Rio Coto",1,94,95,94095,192001,194105,4,0,6,2,3,3,2,4,2,2,1,1,0,1.01
1,8801,88,"Jurado",1,95,100,95100,192001,193806,4,0,4,1,2,2,0,4,2,2,0,0,0,1.01
1,9001,90,"Canal Zone",1,2,100,2100,190103,190311,5,0,6,2,2,4,4,2,0,2,0,0,0,1.01
1,9002,90,"Canal Zone",2,100,2,2100,190311,192203,4,0,7,2,3,4,4,3,1,2,0,0,0,1.01
1,9003,90,"Canal Zone",3,95,2,2095,192302,197910,4,0,8,3,4,4,4,4,2,2,0,0,0,1.01
1,10001,100,"Goajira-Guainia",1,101,100,100101,184101,192203,12,0,8,3,4,4,4,4,2,2,1,1,0,1.01
1,10201,102,"Los Monjes",1,100,101,100101,195104,200199,-9,-9,7,2,3,4,4,3,1,2,3,0,0,1.01
1,10401,104,"Oriente-Aguarico",1,130,100,100130,185401,191907,4,0,6,2,3,3,2,4,2,2,1,0,0,1.01
1,10601,106,"Loreto",1,135,100,100135,183901,192203,4,0,8,3,4,4,4,4,2,2,5,2,0,1.01
1,10602,106,"Leticia",2,135,100,100135,193209,193509,13,1,8,3,4,4,2,6,3,3,2,1,0,1.01
1,10801,108,"Apaporis",1,140,100,100140,183101,192811,13,0,6,2,3,3,2,4,2,2,0,0,0,1.01
1,11001,110,"Aves (Bird) Island",1,101,210,101210,185403,186605,12,0,4,1,3,1,2,2,2,0,2,0,0,1.01
1,11201,112,"Essequibo",1,101,200,101200,184101,189910,13,0,6,2,3,3,4,2,1,1,2,0,0,1.01
1,11202,112,"Essequibo",2,101,200,101200,195100,196605,5,0,6,2,3,3,4,2,1,1,0,0,0,1.01
1,11203,112,"Essequibo",3,101,110,101110,196605,200199,-9,-9,7,2,3,4,4,3,1,2,7,0,0,1.01
1,11401,114,"Patos Island",1,101,200,101200,185905,194202,4,0,7,2,4,3,4,3,2,1,2,0,0,1.01
1,11601,116,"Amazonas",1,101,140,101140,184101,192807,4,0,6,2,3,3,4,2,1,1,0,0,0,1.01
1,11801,118,"Los Roques",1,210,101,101210,185000,185604,1,0,2,1,0,2,0,2,0,2,0,0,0,1.01
1,12001,120,"Corentyn/New River Triangle",1,210,200,200210,181601,196605,5,0,6,2,3,3,4,2,1,1,0,0,0,1.01
1,12002,120,"Corentyn/New River Triangle",2,210,110,110210,196605,197511,5,0,7,2,3,4,4,3,1,2,0,0,0,1.01
1,12003,120,"Corentyn/New River Triangle",3,115,110,110115,197511,200199,-9,-9,8,3,4,4,4,4,2,2,2,0,0,1.01
1,12201,122,"Pirara",1,140,200,140200,183808,192604,12,0,2,1,2,0,0,2,2,0,3,0,0,1.01
1,12401,124,"Maroni",1,210,220,210220,184900,197511,5,0,6,2,3,3,4,2,1,1,0,0,0,1.01
1,12402,124,"Maroni",2,115,220,115220,197511,200199,-9,-9,7,2,4,3,4,3,2,1,0,0,0,1.01
1,12601,126,"Tumuc-Humac",1,140,210,140210,185200,190605,4,0,1,1,1,0,0,1,1,0,0,0,0,1.01
1,12801,128,"Amapa",1,235,220,220235,181601,182207,5,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,12802,128,"Amapa",2,220,140,140220,182601,190012,12,0,5,2,2,3,2,3,1,2,2,1,0,1.01
1,13001,130,"Oriente-Mainas",1,130,135,130135,185401,194503,7,1,10,3,5,5,6,4,2,2,16,6,0,1.01
1,13002,130,"Cordillera del Condor",2,130,135,130135,194702,199810,12,1,8,3,4,4,4,4,2,2,13,5,0,1.01
1,13101,131,"Galapagos Islands",1,2,130,2130,185409,185501,2,0,6,2,2,4,4,2,0,2,0,0,0,1.01
1,13102,131,"Galapagos Islands",2,2,130,2130,189208,190601,2,0,6,2,2,4,4,2,0,2,0,0,0,1.01
1,13201,132,"Amazonas-Caqueta",1,130,140,130140,185401,190405,4,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,13202,132,"Amazonas-Ica",2,140,130,130140,190405,192203,11,0,4,1,2,2,2,2,1,1,0,0,0,1.01
1,13401,134,"Chincha Islands",1,230,135,135230,186404,186605,1,0,7,2,3,4,4,3,1,2,2,1,1,1.01
1,13601,136,"Acre",1,135,140,135140,183901,190909,13,0,8,3,4,4,4,4,2,2,1,1,0,1.01
1,13602,136,"Acre",2,135,145,135145,184801,191205,4,0,8,3,4,4,4,4,2,2,3,1,0,1.01
1,13603,136,"Acre",3,140,145,140145,184801,190911,4,1,8,3,4,4,4,4,2,2,1,0,0,1.01
1,14401,144,"Apa",1,150,140,140150,184601,187006,4,1,8,3,4,4,4,4,2,2,5,1,1,1.01
1,14402,144,"Rio Paraguay Border",2,150,140,140150,187606,192910,4,0,4,1,2,2,0,4,2,2,1,1,0,1.01
