"","dyad.merge","conttype"
"1","002020_1920",1
"2","002020_1921",1
"3","002020_1922",1
"4","002020_1923",1
"5","002020_1924",1
"6","002020_1925",1
"7","002020_1926",1
"8","002020_1927",1
"9","002020_1928",1
"10","002020_1929",1
"11","002020_1930",1
"12","002020_1931",1
"13","002020_1932",1
"14","002020_1933",1
"15","002020_1934",1
"16","002020_1935",1
"17","002020_1936",1
"18","002020_1937",1
"19","002020_1938",1
"20","002020_1939",1
"21","002020_1940",1
"22","002020_1941",1
"23","002020_1942",1
"24","002020_1943",1
"25","002020_1944",1
"26","002020_1945",1
"27","002020_1946",1
"28","002020_1947",1
"29","002020_1948",1
"30","002020_1949",1
"31","002020_1950",1
"32","002020_1951",1
"33","002020_1952",1
"34","002020_1953",1
"35","002020_1954",1
"36","002020_1955",1
"37","002020_1956",1
"38","002020_1957",1
"39","002020_1958",1
"40","002020_1959",1
"41","002020_1960",1
"42","002020_1961",1
"43","002020_1962",1
"44","002020_1963",1
"45","002020_1964",1
"46","002020_1965",1
"47","002020_1966",1
"48","002020_1967",1
"49","002020_1968",1
"50","002020_1969",1
"51","002020_1970",1
"52","002020_1971",1
"53","002020_1972",1
"54","002020_1973",1
"55","002020_1974",1
"56","002020_1975",1
"57","002020_1976",1
"58","002020_1977",1
"59","002020_1978",1
"60","002020_1979",1
"61","002020_1980",1
"62","002020_1981",1
"63","002020_1982",1
"64","002020_1983",1
"65","002020_1984",1
"66","002020_1985",1
"67","002020_1986",1
"68","002020_1987",1
"69","002020_1988",1
"70","002020_1989",1
"71","002020_1990",1
"72","002020_1991",1
"73","002020_1992",1
"74","002020_1993",1
"75","002020_1994",1
"76","002020_1995",1
"77","002020_1996",1
"78","002020_1997",1
"79","002020_1998",1
"80","002020_1999",1
"81","002020_2000",1
"82","002020_2001",1
"83","002020_2002",1
"84","002020_2003",1
"85","002020_2004",1
"86","002020_2005",1
"87","002020_2006",1
"88","002031_1973",4
"89","002031_1974",4
"90","002031_1975",4
"91","002031_1976",4
"92","002031_1977",4
"93","002031_1978",4
"94","002031_1979",4
"95","002031_1980",4
"96","002031_1981",4
"97","002031_1982",4
"98","002031_1983",4
"99","002031_1984",4
"100","002031_1985",4
"101","002031_1986",4
"102","002031_1987",4
"103","002031_1988",4
"104","002031_1989",4
"105","002031_1990",4
"106","002031_1991",4
"107","002031_1992",4
"108","002031_1993",4
"109","002031_1994",4
"110","002031_1995",4
"111","002031_1996",4
"112","002031_1997",4
"113","002031_1998",4
"114","002031_1999",4
"115","002031_2000",4
"116","002031_2001",4
"117","002031_2002",4
"118","002031_2003",4
"119","002031_2004",4
"120","002031_2005",4
"121","002031_2006",4
"122","002040_1902",4
"123","002040_1903",4
"124","002040_1904",4
"125","002040_1905",4
"126","002040_1906",4
"127","002040_1909",4
"128","002040_1910",4
"129","002040_1911",4
"130","002040_1912",4
"131","002040_1913",4
"132","002040_1914",4
"133","002040_1915",4
"134","002040_1916",4
"135","002040_1917",4
"136","002040_1918",4
"137","002040_1919",4
"138","002040_1920",4
"139","002040_1921",4
"140","002040_1922",4
"141","002040_1923",4
"142","002040_1924",4
"143","002040_1925",4
"144","002040_1926",4
"145","002040_1927",4
"146","002040_1928",4
"147","002040_1929",4
"148","002040_1930",4
"149","002040_1931",4
"150","002040_1932",4
"151","002040_1933",4
"152","002040_1934",4
"153","002040_1935",4
"154","002040_1936",4
"155","002040_1937",4
"156","002040_1938",4
"157","002040_1939",4
"158","002040_1940",4
"159","002040_1941",4
"160","002040_1942",4
"161","002040_1943",4
"162","002040_1944",4
"163","002040_1945",4
"164","002040_1946",4
"165","002040_1947",4
"166","002040_1948",4
"167","002040_1949",4
"168","002040_1950",4
"169","002040_1951",4
"170","002040_1952",4
"171","002040_1953",4
"172","002040_1954",4
"173","002040_1955",4
"174","002040_1956",4
"175","002040_1957",4
"176","002040_1958",4
"177","002040_1959",4
"178","002040_1960",4
"179","002040_1961",4
"180","002040_1962",4
"181","002040_1963",4
"182","002040_1964",4
"183","002040_1965",4
"184","002040_1966",4
"185","002040_1967",4
"186","002040_1968",4
"187","002040_1969",4
"188","002040_1970",4
"189","002040_1971",4
"190","002040_1972",4
"191","002040_1973",4
"192","002040_1974",4
"193","002040_1975",4
"194","002040_1976",4
"195","002040_1977",4
"196","002040_1978",4
"197","002040_1979",4
"198","002040_1980",4
"199","002040_1981",4
"200","002040_1982",4
"201","002040_1983",4
"202","002040_1984",4
"203","002040_1985",4
"204","002040_1986",4
"205","002040_1987",4
"206","002040_1988",4
"207","002040_1989",4
"208","002040_1990",4
"209","002040_1991",4
"210","002040_1992",4
"211","002040_1993",4
"212","002040_1994",4
"213","002040_1995",4
"214","002040_1996",4
"215","002040_1997",4
"216","002040_1998",4
"217","002040_1999",4
"218","002040_2000",4
"219","002040_2001",4
"220","002040_2002",4
"221","002040_2003",4
"222","002040_2004",4
"223","002040_2005",4
"224","002040_2006",4
"225","002070_1831",1
"226","002070_1832",1
"227","002070_1833",1
"228","002070_1834",1
"229","002070_1835",1
"230","002070_1836",1
"231","002070_1837",1
"232","002070_1838",1
"233","002070_1839",1
"234","002070_1840",1
"235","002070_1841",1
"236","002070_1842",1
"237","002070_1843",1
"238","002070_1844",1
"239","002070_1845",1
"240","002070_1846",1
"241","002070_1847",1
"242","002070_1848",1
"243","002070_1849",1
"244","002070_1850",1
"245","002070_1851",1
"246","002070_1852",1
"247","002070_1853",1
"248","002070_1854",1
"249","002070_1855",1
"250","002070_1856",1
"251","002070_1857",1
"252","002070_1858",1
"253","002070_1859",1
"254","002070_1860",1
"255","002070_1861",1
"256","002070_1862",1
"257","002070_1863",1
"258","002070_1864",1
"259","002070_1865",1
"260","002070_1866",1
"261","002070_1867",1
"262","002070_1868",1
"263","002070_1869",1
"264","002070_1870",1
"265","002070_1871",1
"266","002070_1872",1
"267","002070_1873",1
"268","002070_1874",1
"269","002070_1875",1
"270","002070_1876",1
"271","002070_1877",1
"272","002070_1878",1
"273","002070_1879",1
"274","002070_1880",1
"275","002070_1881",1
"276","002070_1882",1
"277","002070_1883",1
"278","002070_1884",1
"279","002070_1885",1
"280","002070_1886",1
"281","002070_1887",1
"282","002070_1888",1
"283","002070_1889",1
"284","002070_1890",1
"285","002070_1891",1
"286","002070_1892",1
"287","002070_1893",1
"288","002070_1894",1
"289","002070_1895",1
"290","002070_1896",1
"291","002070_1897",1
"292","002070_1898",1
"293","002070_1899",1
"294","002070_1900",1
"295","002070_1901",1
"296","002070_1902",1
"297","002070_1903",1
"298","002070_1904",1
"299","002070_1905",1
"300","002070_1906",1
"301","002070_1907",1
"302","002070_1908",1
"303","002070_1909",1
"304","002070_1910",1
"305","002070_1911",1
"306","002070_1912",1
"307","002070_1913",1
"308","002070_1914",1
"309","002070_1915",1
"310","002070_1916",1
"311","002070_1917",1
"312","002070_1918",1
"313","002070_1919",1
"314","002070_1920",1
"315","002070_1921",1
"316","002070_1922",1
"317","002070_1923",1
"318","002070_1924",1
"319","002070_1925",1
"320","002070_1926",1
"321","002070_1927",1
"322","002070_1928",1
"323","002070_1929",1
"324","002070_1930",1
"325","002070_1931",1
"326","002070_1932",1
"327","002070_1933",1
"328","002070_1934",1
"329","002070_1935",1
"330","002070_1936",1
"331","002070_1937",1
"332","002070_1938",1
"333","002070_1939",1
"334","002070_1940",1
"335","002070_1941",1
"336","002070_1942",1
"337","002070_1943",1
"338","002070_1944",1
"339","002070_1945",1
"340","002070_1946",1
"341","002070_1947",1
"342","002070_1948",1
"343","002070_1949",1
"344","002070_1950",1
"345","002070_1951",1
"346","002070_1952",1
"347","002070_1953",1
"348","002070_1954",1
"349","002070_1955",1
"350","002070_1956",1
"351","002070_1957",1
"352","002070_1958",1
"353","002070_1959",1
"354","002070_1960",1
"355","002070_1961",1
"356","002070_1962",1
"357","002070_1963",1
"358","002070_1964",1
"359","002070_1965",1
"360","002070_1966",1
"361","002070_1967",1
"362","002070_1968",1
"363","002070_1969",1
"364","002070_1970",1
"365","002070_1971",1
"366","002070_1972",1
"367","002070_1973",1
"368","002070_1974",1
"369","002070_1975",1
"370","002070_1976",1
"371","002070_1977",1
"372","002070_1978",1
"373","002070_1979",1
"374","002070_1980",1
"375","002070_1981",1
"376","002070_1982",1
"377","002070_1983",1
"378","002070_1984",1
"379","002070_1985",1
"380","002070_1986",1
"381","002070_1987",1
"382","002070_1988",1
"383","002070_1989",1
